,Id,parcel_id,ms_subclass,zoning,lot_frontage,lot_sq_ft,paved_street,alley,lot_shape,flatness,utilities,lot_config,land_slope,neighborhood,proximity_1,proximity_2,style,quality_rating,condition_rating,year_built,year_renovation,roof_style,roof_material,exterior_1,exterior_2,masonry_type,masonry_area,exterior_quality,exterior_condition,foundation_type,basement_height,basement_condition,basement_exposure,basement_finished_condition,basement_2_condition,unfinished_basement_sqft,total_basement_sqft,heating_type,heating_quality,has_central_air,electrical,low_quality_sqft,living_area_sqft,bedrooms,kitchens,kitchen_quality,total_rooms(non-bath_or_basement),fireplaces,fireplace_quality,garage_type,garage_year,garage_finish,garage_size,garage_sqft,garage_quality,garage_condition,has_paved_driveway,deck_sqft,open_porch_sqft,enclosed_porch_sqft,seasonal_porch_sqft,screen_porch_sqft,pool_size,pool_quality,fence_quality,misc_feature,misc_value,month_sold,year_sold,sale_type,SalePrice,baths,finished_basement_sqft,home_age,newly_renovated,basement_none,basement_unfinished,functionality_salvage_only,functionality_severely_damaged,functionality_typical,building_type_single_family,building_type_townhouse_end_unit,building_type_townhouse_inside_unit,building_type_two_family_conversion
10,1044,527451290,160,RM,21.0,1680,1,0,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,96.0,483.0,GasA,TA,1,SBrkr,0,987,2,1,TA,4,0,0,Detchd,1971.0,Unf,1.0,264.0,TA,TA,1,0,0,0,0,0,0,0,0,0,0,7,2008,COD,85400,1.5,387.0,37,0,0,0,0,0,1,0,0,1,0
11,2752,906380150,20,RL,64.0,7488,1,0,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,815.0,1208.0,GasA,Ex,1,SBrkr,0,1208,2,1,Gd,6,0,0,Attchd,2005.0,RFn,2.0,632.0,TA,TA,1,105,58,0,0,0,0,0,0,0,0,2,2006,WD ,183600,2.0,393.0,1,0,0,0,0,0,1,1,0,0,0
12,807,906226060,70,RL,120.0,26400,1,0,Reg,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,0,0,0,0,0,0.0,0.0,GasA,Ex,1,SBrkr,0,2016,4,1,TA,7,1,TA,Attchd,1900.0,Unf,2.0,576.0,TA,TA,1,0,0,0,0,0,0,0,0,0,0,6,2009,WD ,131000,1.0,0.0,129,0,1,0,0,0,0,1,0,0,0
13,1177,533236070,160,FV,24.0,2645,1,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,147.0,960.0,GasA,Ex,1,SBrkr,0,1607,3,1,Gd,7,0,0,Detchd,2000.0,Unf,2.0,480.0,TA,TA,1,169,0,0,0,0,0,0,0,0,0,12,2008,ConLD,200000,3.5,813.0,9,0,0,0,0,0,1,0,0,1,0
14,1480,907418040,20,RL,74.0,9627,1,0,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1327.0,1351.0,GasA,Ex,1,SBrkr,0,1361,3,1,Gd,6,0,0,Attchd,2007.0,RFn,2.0,610.0,TA,TA,1,0,50,0,0,0,0,0,0,0,0,6,2008,WD ,193000,2.0,24.0,1,0,0,0,0,0,1,1,0,0,0
15,324,923202105,20,RL,93.0,10114,1,0,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,TA,Av,Unf,Unf,1430.0,1430.0,GasA,Ex,1,SBrkr,0,1430,3,1,Gd,7,0,0,Attchd,2004.0,RFn,2.0,624.0,TA,TA,1,0,0,0,0,0,0,0,0,0,0,3,2010,WD ,173500,2.0,0.0,6,0,0,1,0,0,1,1,0,0,0
16,1311,902301140,70,RM,34.0,4571,1,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,624.0,624.0,GasA,Fa,0,SBrkr,0,1344,4,1,TA,7,0,0,Detchd,1916.0,Unf,3.0,513.0,Fa,Fa,1,0,0,96,0,0,0,0,0,0,0,5,2008,COD,98000,1.0,0.0,92,0,0,1,0,0,1,1,0,0,0
17,770,905101490,20,RL,80.0,8816,1,0,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,Rec,Unf,470.0,1121.0,GasA,TA,1,SBrkr,0,1121,3,1,TA,5,0,0,Detchd,1963.0,Unf,2.0,480.0,TA,TA,1,0,80,0,0,0,0,0,MnPrv,0,0,6,2009,WD ,139000,2.0,651.0,46,0,0,0,0,0,1,1,0,0,0
18,2063,905107140,20,RL,71.0,8197,1,0,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,TA,TA,CBlock,TA,TA,No,Unf,Unf,660.0,660.0,GasA,Ex,1,SBrkr,0,1285,3,1,TA,7,1,TA,Attchd,1977.0,RFn,2.0,528.0,TA,TA,1,138,0,0,0,0,0,0,MnPrv,0,0,4,2007,WD ,143500,1.5,0.0,30,0,0,1,0,0,1,1,0,0,0
19,69,528458070,60,FV,72.0,8640,1,0,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,Unf,732.0,756.0,GasA,Ex,1,SBrkr,0,1547,3,1,Gd,7,0,0,Attchd,2009.0,Unf,2.0,614.0,TA,TA,1,169,45,0,0,0,0,0,0,0,0,6,2010,Con,215200,2.5,24.0,1,0,0,0,0,0,1,1,0,0,0
20,2062,905106150,20,RL,109.0,8724,1,0,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,No,BLQ,Unf,402.0,894.0,GasA,Gd,1,SBrkr,0,894,3,1,TA,5,1,Po,Attchd,1968.0,Fin,2.0,450.0,TA,TA,1,0,0,0,0,0,0,0,0,0,0,5,2007,WD ,129000,1.0,492.0,39,0,0,0,0,0,1,1,0,0,0
21,351,527131030,120,RL,40.0,5664,1,0,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,343.0,1501.0,GasA,Ex,1,SBrkr,0,1659,2,1,Ex,5,1,Ex,Attchd,2000.0,Fin,2.0,499.0,TA,TA,1,212,59,0,0,0,0,0,0,0,0,10,2009,WD ,278000,3.0,1158.0,9,0,0,0,0,0,1,0,1,0,0
22,2393,528142010,60,RL,103.0,12867,1,0,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,0,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1209.0,1209.0,GasA,Ex,1,SBrkr,0,2253,3,1,Ex,8,1,Gd,Attchd,2005.0,Fin,2.0,575.0,TA,TA,1,243,142,0,0,0,0,0,0,0,0,7,2006,New,344133,2.5,0.0,1,0,0,1,0,0,1,1,0,0,0
23,12,527165230,20,RL,0.0,7980,1,0,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,Unf,233.0,1168.0,GasA,Ex,1,SBrkr,0,1187,3,1,TA,6,0,0,Attchd,1992.0,Fin,2.0,420.0,TA,TA,1,483,21,0,0,0,0,0,GdPrv,Shed,500,3,2010,WD ,185000,3.0,935.0,18,0,0,0,0,0,1,1,0,0,0
24,2339,527250040,190,RL,100.0,34650,1,0,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,Rec,Unf,0.0,1056.0,GasA,TA,0,SBrkr,0,1056,3,1,TA,5,0,0,Attchd,1955.0,Fin,2.0,572.0,TA,TA,1,264,0,0,0,0,0,0,0,0,0,1,2006,WD ,145000,2.0,1056.0,51,0,0,0,0,0,1,0,0,0,1
25,624,535104120,20,RL,92.0,10573,1,0,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,141.0,1453.0,GasA,Ex,1,SBrkr,0,1453,3,1,TA,6,1,TA,Attchd,1961.0,RFn,2.0,530.0,TA,TA,1,0,49,0,0,288,0,0,GdPrv,0,0,4,2009,WD ,187500,3.0,1312.0,48,0,0,0,0,0,1,1,0,0,0
26,86,532376160,20,RL,65.0,8450,1,0,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,BLQ,224.0,894.0,GasA,Ex,1,SBrkr,0,894,3,1,TA,5,1,Gd,Detchd,1973.0,Unf,1.0,336.0,TA,TA,1,416,144,0,0,0,0,0,MnPrv,0,0,4,2010,WD ,138500,2.0,670.0,45,0,0,0,0,0,1,1,0,0,0
27,1534,909277040,50,RL,0.0,11700,1,Grvl,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,336.0,942.0,GasA,Ex,1,SBrkr,0,1938,4,1,Gd,7,1,Gd,Detchd,1937.0,Unf,1.0,240.0,TA,TA,1,0,40,0,0,0,0,0,0,0,0,7,2008,WD ,198000,2.0,606.0,71,0,0,0,0,0,0,1,0,0,0
28,2243,911103060,190,C (all),75.0,8250,1,0,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,Unf,957.0,957.0,GasA,Fa,0,SBrkr,0,1991,4,2,TA,9,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,133,0,0,0,0,0,0,0,6,2007,WD ,119600,2.0,0.0,112,0,0,1,0,0,1,0,0,0,1
29,1957,535450190,50,RL,60.0,8064,1,0,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Unf,Unf,672.0,672.0,GasA,Ex,1,SBrkr,0,924,3,1,TA,6,1,Po,Detchd,2003.0,Unf,2.0,576.0,TA,TA,1,0,0,0,0,0,0,0,MnPrv,Shed,2000,7,2007,WD ,122900,1.0,0.0,58,0,0,1,0,0,1,1,0,0,0
30,380,527355150,20,RL,80.0,9600,1,0,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,Unf,1420.0,2524.0,GasA,TA,1,SBrkr,0,2524,4,1,Gd,9,1,Gd,Attchd,1981.0,Fin,2.0,542.0,TA,TA,1,474,120,0,0,0,0,0,MnPrv,0,0,7,2009,WD ,278000,3.5,1104.0,28,0,0,0,0,0,1,1,0,0,0
31,2860,909276010,70,RL,0.0,11435,1,0,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,792.0,792.0,GasA,Fa,1,SBrkr,0,1517,3,1,Gd,7,2,Gd,Detchd,1931.0,Unf,2.0,400.0,TA,TA,1,0,0,0,0,0,0,0,0,0,0,6,2006,WD ,230000,1.0,0.0,77,0,0,1,0,0,1,1,0,0,0
32,2517,533250130,120,RL,30.0,9549,1,0,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,Gd,PConc,Gd,Gd,Av,LwQ,GLQ,0.0,1494.0,GasA,Ex,1,SBrkr,0,1494,2,1,Ex,6,1,Gd,Attchd,1995.0,Fin,2.0,481.0,TA,TA,1,0,30,0,0,216,0,0,0,0,0,4,2006,WD ,270000,2.5,1494.0,11,0,0,0,0,0,1,0,1,0,0
33,1933,535302070,20,RL,60.0,10950,1,0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,507.0,948.0,GasA,TA,1,SBrkr,0,948,2,1,TA,5,0,0,Detchd,1952.0,Unf,2.0,410.0,TA,TA,0,0,48,0,0,0,0,0,0,0,0,4,2007,WD ,125000,1.0,441.0,55,0,0,0,0,0,1,1,0,0,0
34,820,906340110,20,RL,79.0,10637,1,0,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,Unf,417.0,1705.0,GasA,Ex,1,SBrkr,0,1718,3,1,Gd,7,1,Gd,Attchd,2007.0,RFn,3.0,826.0,TA,TA,1,208,44,0,0,0,0,0,0,0,0,9,2009,WD ,297000,3.0,1288.0,2,0,0,0,0,0,1,1,0,0,0
35,675,535426150,20,RL,80.0,9000,1,0,IR1,HLS,AllPub,Inside,Mod,NAmes,Norm,Norm,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,TA,TA,CBlock,Gd,TA,Gd,Unf,Unf,160.0,160.0,GasA,Fa,1,SBrkr,0,1142,2,1,TA,5,1,Gd,Basment,1958.0,RFn,1.0,384.0,TA,TA,1,0,28,64,0,0,0,0,0,0,0,4,2009,WD ,113500,1.0,0.0,51,0,0,1,0,0,1,1,0,0,0
36,2910,923225240,160,RM,41.0,2665,1,0,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,TA,TA,No,ALQ,Rec,36.0,757.0,GasA,Ex,1,SBrkr,0,1475,4,1,TA,6,1,TA,Attchd,1977.0,RFn,1.0,336.0,TA,TA,1,104,26,0,0,0,0,0,0,0,0,7,2006,WD ,127000,2.0,721.0,29,0,0,0,0,0,1,0,1,0,0
37,21,527358140,20,RL,105.0,11751,1,0,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,TA,TA,CBlock,Gd,TA,No,BLQ,Unf,1139.0,1844.0,GasA,Ex,1,SBrkr,0,1844,3,1,TA,7,1,TA,Attchd,1977.0,RFn,2.0,546.0,TA,TA,1,0,122,0,0,0,0,0,MnPrv,0,0,1,2010,COD,190000,2.0,705.0,33,0,0,0,0,0,1,1,0,0,0
38,1873,534177210,20,RL,80.0,9600,1,0,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,326.0,1242.0,GasA,Fa,1,SBrkr,0,1242,3,1,TA,6,1,TA,Attchd,1973.0,Unf,2.0,528.0,TA,TA,1,0,0,0,0,0,0,0,0,0,0,9,2007,WD ,175500,1.5,916.0,34,0,0,0,0,0,1,1,0,0,0
39,2125,907135050,20,RL,60.0,8428,1,0,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,Gd,Gd,No,GLQ,Unf,570.0,990.0,GasA,Ex,1,SBrkr,0,990,3,1,TA,5,0,0,Detchd,1995.0,Unf,1.0,384.0,TA,TA,1,256,0,0,0,0,0,0,0,0,0,7,2007,WD ,146000,2.0,420.0,13,0,0,0,0,0,1,1,0,0,0
40,1489,908102260,20,RL,75.0,9937,1,0,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,CBlock,TA,TA,No,BLQ,LwQ,136.0,1256.0,GasA,Gd,1,SBrkr,0,1256,3,1,TA,6,0,0,Attchd,1965.0,Fin,1.0,276.0,TA,TA,1,736,68,0,0,0,0,0,0,0,0,6,2008,WD ,147500,2.5,1120.0,43,0,0,0,0,0,1,1,0,0,0
41,2383,528110050,20,RL,107.0,13891,1,0,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Story,10,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,0,0.0,Ex,TA,PConc,Ex,Gd,Gd,GLQ,Unf,690.0,2076.0,GasA,Ex,1,SBrkr,0,2076,2,1,Ex,7,1,Gd,Attchd,2006.0,Fin,3.0,850.0,TA,TA,1,216,229,0,0,0,0,0,0,0,0,9,2006,New,465000,3.5,1386.0,0,0,0,0,0,0,1,1,0,0,0
42,983,923275040,85,RL,0.0,9101,1,0,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,TA,Gd,PConc,Gd,TA,Av,GLQ,Unf,0.0,1097.0,GasA,Ex,1,SBrkr,0,1110,1,1,Gd,4,1,TA,Attchd,1978.0,Fin,2.0,602.0,TA,TA,1,303,30,0,0,0,0,0,0,0,0,7,2009,WD ,165500,2.0,1097.0,31,0,0,0,0,0,1,1,0,0,0
43,1325,902406090,50,RM,81.0,12150,1,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,1050.0,1050.0,GasA,Ex,0,FuseF,0,1795,4,1,TA,7,0,0,Attchd,1954.0,Unf,1.0,352.0,Fa,TA,1,0,0,0,0,0,0,0,0,0,0,11,2008,WD ,131500,2.0,0.0,54,0,0,1,0,0,1,1,0,0,0
44,1378,905102170,20,RL,70.0,11200,1,0,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,134.0,1040.0,GasA,Ex,1,SBrkr,0,1040,3,1,TA,5,0,0,Detchd,1965.0,Unf,1.0,384.0,TA,TA,1,0,0,0,0,0,0,0,0,0,0,2,2008,WD ,129500,2.0,906.0,43,0,0,0,0,0,1,1,0,0,0
45,1537,909281110,70,RL,100.0,9670,1,0,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,2Story,8,6,1935,1950,Gable,CompShg,BrkFace,Stucco,Stone,40.0,TA,TA,PConc,TA,Fa,No,LwQ,Unf,398.0,608.0,GasA,TA,1,SBrkr,0,1873,4,1,TA,9,2,Gd,Detchd,1935.0,Fin,2.0,786.0,Fa,TA,1,0,0,207,0,0,0,0,0,0,0,6,2008,WD ,257076,1.5,210.0,73,0,0,0,0,0,1,1,0,0,0
46,905,909101140,50,RL,60.0,10998,1,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1.5Fin,5,5,1941,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,BLQ,156.0,984.0,GasA,Ex,1,SBrkr,0,1604,3,1,TA,6,0,0,Detchd,1977.0,Unf,2.0,660.0,TA,TA,1,0,68,0,0,0,0,0,0,0,0,7,2009,WD ,117000,2.0,828.0,68,0,0,0,0,0,0,1,0,0,0
